id,title,type,description,release_year,age_certification,runtime,genres,contains_US,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm244788,13th,MOVIE,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,2016,,100,"['documentation', 'history', 'crime']",US,['US'],,tt5895028,8.2,34914,10.311,8
tm208622,American Ultra,MOVIE,"Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive.",2015,R,96,"['comedy', 'action', 'scifi']",US,"['US', 'CH']",,tt3316948,6.1,89912,15.041,6.1
tm204035,Spectral,MOVIE,A special-ops team is dispatched to fight supernatural beings that have taken over a European city.,2016,PG-13,109,"['scifi', 'action', 'thriller']",US,['US'],,tt2106651,6.3,58407,38.64,6.4
ts41913,Frequency,SHOW,"Detective Raimy Sullivan is stunned when a voice suddenly crackles through her father’s old, long-broken ham radio – it’s Frank Sullivan, somehow transmitting over the airwaves and through the decades from 1996. Separated by twenty years, father and daughter have reunited on a frequency only they can hear, but can they rewrite the story of their lives without risking everyone they love?",2016,TV-14,18,"['scifi', 'fantasy', 'thriller', 'drama']",US,['US'],3,tt5531470,7.5,13625,13.548,7.2
ts3844,Aquarius,SHOW,"In the late 1960s, a Los Angeles police sergeant with a complicated personal life starts tracking a small-time criminal and budding cult leader seeking out vulnerable women to join his “cause.” The name of that man is Charles Manson.",2015,TV-14,43,"['drama', 'crime', 'thriller', 'european']",US,['US'],2,tt4744218,7.1,12112,11.944,6.8
ts53287,Roman Empire,SHOW,"This stylish mix of documentary and historical epic chronicles the reign of Commodus, the emperor whose rule marked the beginning of Rome's fall.",2016,TV-14,48,"['drama', 'history', 'war', 'documentation']",US,['US'],3,tt6233538,7,7539,25.738,6.9
tm136321,Advantageous,MOVIE,"In a near-future city where soaring opulence overshadows economic hardship, Gwen and her daughter, Jules, do all they can to hold on to their joy, despite the instability surfacing in their world.",2015,,92,"['scifi', 'drama', 'family']",US,['US'],,tt4209960,6.2,5378,7.157,6
tm233465,The Bye Bye Man,MOVIE,"When three college students move into an old house off campus, they unwittingly unleash a supernatural entity known as The Bye Bye Man, who comes to prey upon them once they discover his name. The friends must try to save each other, all the while keeping The Bye Bye Man's existence a secret to save others from the same deadly fate.",2016,PG-13,96,"['thriller', 'fantasy', 'horror', 'drama']",US,['US'],,tt4032232,4.3,23588,22.899,5.2
tm136257,Beasts of No Nation,MOVIE,"Based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows Agu's journey as he's forced to join a group of soldiers. While he fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination.",2015,R,137,"['war', 'drama']",US,"['US', 'GH']",,tt1365050,7.7,80129,11.978,7.6
tm140843,Self/less,MOVIE,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,2015,PG-13,116,"['scifi', 'thriller', 'action', 'drama']",US,['US'],,tt2157712,6.5,98127,24.934,6.4
tm238722,Collateral Beauty,MOVIE,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",2016,PG-13,97,"['drama', 'romance']",US,['US'],,tt4682786,6.7,99053,25.719,7.3
